,n_secs_delay,
0,0,
1,-1,
2,131823,
3,40104,
4,29584,
5,36250,
6,37084,
7,31667,
8,48594,
9,31354,
10,32864,
11,30521,
12,31667,
13,30729,
14,33437,
15,45938,
16,30886,
17,31823,
18,31198,
19,45886,
20,30938,
21,31771,
22,30781,
23,31771,
24,45730,
25,30730,
26,35000,
27,30417,
28,30417,
29,30000,
30,30677,
31,30261,
32,29948,
33,30989,
34,30833,
35,34271,
36,30156,
37,29688,
38,29948,
39,31094,
40,29948,
41,31719,
42,34323,
43,29948,
44,45000,
45,30938,
46,29636,
47,31094,
48,30105,
49,31666,
50,45677,
51,30469,
52,34479,
53,28438,
54,31615,
55,45885,
56,31042,
57,31771,
58,30521,
59,30625,
60,29843,
61,30208,
62,30521,
63,29947,
64,45209,
65,32031,
66,31146,
67,45156,
68,31928,
69,31145,
70,31563,
71,31146,
72,29844,
73,30000,
74,30781,
75,30260,
76,45312,
77,31770,
78,30885,
79,45573,
80,31563,
81,30469,
82,32239,
83,31198,
84,62605,
85,31979,
86,31511,
87,29896,
88,30573,
89,30521,
90,29583,
91,45417,
92,34427,
93,30938,
94,31823,
95,30573,
96,29531,
97,46250,
98,30364,
99,31458,
100,31302,
101,30157,
102,33490,
103,28281,
104,46250,
105,31198,
106,32135,
107,30573,
108,30521,
109,45052,
110,30364,
111,41666,
112,30365,
113,29791,
114,29584,
115,30104,
116,30677,
117,29843,
118,32240,
119,45781,
120,30365,
121,31927,
122,30468,
123,30521,
124,43386,
125,31146,
126,45677,
127,32187,
128,31094,
129,45209,
130,30677,
131,30834,
132,32552,
133,30000,
134,29323,
135,30312,
136,31302,
137,29792,
138,31615,
139,40365,
140,30157,
141,44896,
142,35208,
143,30156,
144,32188,
145,29948,
146,30156,
147,29479,
148,30573,
149,31458,
150,45782,
151,30573,
152,31718,
153,30573,
154,31406,
155,45834,
156,32708,
157,44740,
158,33646,
159,31042,
160,31927,
161,30937,
162,30677,
163,33542,
164,57031,
165,49219,
166,34844,
167,34323,
168,34114,
169,33020,
170,36615,
171,32448,
172,35938,
173,33282,
174,32813,
175,32552,
176,32761,
177,34792,
178,41562,
179,44010,
180,55052,
181,32917,
182,31979,
183,45052,
184,30104,
185,29792,
186,34740,
187,29531,
188,29583,
189,30677,
190,29636,
191,29739,
192,31354,
193,34010,
194,30833,
195,45156,
196,31510,
197,31198,
198,30208,
199,29583,
200,30781,
201,29583,
202,29583,
203,45000,
204,31614,
205,31094,
206,44375,
207,30104,
208,30156,
209,31354,
210,30000,
211,29375,
212,30156,
213,45000,
214,29896,
215,29219,
216,29010,
217,30364,
218,32084,
219,30104,
220,29427,
221,33646,
222,30000,
223,72761,
224,32864,
225,31042,
226,30729,
227,30938,
228,44844,
229,30209,
230,30989,
231,30000,
232,30990,
233,33073,
234,29427,
235,30052,
236,30104,
237,29167,
238,29740,
239,30053,
240,45885,
241,30989,
242,32136,
243,30104,
244,29635,
245,32917,
246,29063,
247,30833,
248,30052,
249,29322,
250,32864,
251,31615,
252,44740,
253,30781,
254,30156,
255,31145,
256,30573,
257,29479,
258,29740,
259,30313,
260,29636,
261,29219,
262,45729,
263,30156,
264,31459,
265,30729,
266,29948,
267,45833,
268,31927,
269,29480,
270,30156,
271,29583,
272,29114,
273,29427,
274,31093,
275,30937,
276,45000,
277,33541,
278,30833,
279,31718,
280,31042,
281,30000,
282,36302,
283,30573,
284,44740,
285,34687,
286,29791,
287,32917,
288,29219,
289,29323,
290,30052,
291,29375,
292,31302,
293,44896,
294,30989,
295,31093,
296,30625,
297,29531,
298,45052,
299,30000,
300,29323,
301,30625,
302,29532,
303,29427,
304,30937,
305,44948,
306,30885,
307,31354,
308,44584,
309,45625,
310,31927,
311,29375,
312,30208,
313,29479,
314,29271,
315,29740,
316,29688,
317,30000,
318,30000,
319,31302,
320,31302,
321,30312,
322,32657,
323,29427,
324,29011,
325,30052,
326,29323,
327,29844,
328,30521,
329,44896,
330,30156,
331,31198,
332,30052,
333,30468,
334,33802,
335,31250,
336,34739,
337,29583,
338,29115,
339,45885,
340,30261,
341,31458,
342,30521,
343,29844,
344,30157,
345,29270,
346,44948,
347,31771,
348,30677,
349,44896,
350,30937,
351,30157,
352,31458,
353,30104,
354,29531,
355,29427,
356,29948,
357,29635,
358,44531,
359,32032,
360,31406,
361,45052,
362,29584,
363,34115,
364,32292,
365,30938,
366,30000,
367,45937,
368,30000,
369,29479,
370,30938,
371,29687,
372,31042,
373,31354,
374,45000,
375,30990,
376,31875,
377,30208,
378,30104,
379,33281,
380,29375,
381,29323,
382,29896,
383,30208,
384,30261,
385,45000,
386,34011,
387,29739,
388,31302,
389,31146,
390,29584,
391,34062,
392,29323,
393,29167,
394,30261,
395,29219,
396,29583,
397,30417,
398,44792,
399,30261,
400,31146,
401,30416,
402,30209,
403,34062,
404,30729,
405,30469,
406,45156,
407,30937,
408,29427,
409,30157,
410,29323,
411,29427,
412,29427,
413,31510,
414,30729,
415,45000,
416,31458,
417,34063,
418,30416,
419,44844,
420,30521,
421,30937,
422,33021,
423,29427,
424,29740,
425,30104,
426,29584,
427,29791,
428,30468,
429,31458,
430,30417,
431,44739,
432,29843,
433,30468,
434,33698,
435,29532,
436,30625,
437,29583,
438,29114,
439,30260,
440,29844,
441,32032,
442,30834,
443,33229,
444,29584,
445,29739,
446,33750,
447,30886,
448,30469,
449,29531,
450,29271,
451,45521,
452,30885,
453,29791,
454,29948,
455,30312,
456,31302,
457,30469,
458,33542,
459,29427,
460,30313,
461,29948,
462,29114,
463,45730,
464,30208,
465,29635,
466,29427,
467,29843,
468,29427,
469,29271,
470,29791,
471,30989,
472,30833,
473,45105,
474,32656,
475,45313,
476,31146,
477,30364,
478,29896,
479,45000,
480,30260,
481,29427,
482,30365,
483,30000,
484,30052,
485,31355,
486,45104,
487,30885,
488,34479,
489,29844,
490,29480,
491,34062,
492,29219,
493,29687,
494,30989,
495,29271,
496,29479,
497,45000,
498,33645,
499,30833,
500,31771,
501,30521,
502,45885,
503,34271,
504,29427,
505,31927,
506,30417,
507,29584,
508,29843,
509,29792,
510,45469,
511,30521,
512,32656,
513,30104,
514,29792,
515,29167,
516,29271,
517,31406,
518,30625,
519,29375,
520,30156,
521,30521,
522,44896,
523,30365,
524,33229,
525,29740,
526,30364,
527,32240,
528,30209,
529,38698,
530,46094,
531,30573,
532,29792,
533,31771,
534,30364,
535,29636,
536,31146,
537,29532,
538,30833,
539,30417,
540,29792,
541,45833,
542,30417,
543,33490,
544,30208,
545,30364,
546,29375,
547,29218,
548,31198,
549,30729,
550,29740,
551,29584,
552,30468,
553,44843,
554,30885,
555,33021,
556,29323,
557,30365,
558,29480,
559,29636,
560,30313,
561,29739,
562,29115,
563,31979,
564,30104,
565,44479,
566,30365,
567,29323,
568,31823,
569,30260,
570,29479,
571,30156,
572,29792,
573,29219,
574,45000,
575,31771,
576,30521,
577,45468,
578,30573,
579,30365,
580,31146,
581,30365,
582,29219,
583,29375,
584,29323,
585,29479,
586,30938,
587,30261,
588,29532,
589,29063,
590,29896,
591,34115,
592,29583,
593,29167,
594,31980,
595,29218,
596,29688,
597,44636,
598,33906,
599,31094,
600,31615,
601,30156,
602,30261,
603,33125,
604,29427,
605,31250,
606,30157,
607,30208,
608,30104,
609,45052,
610,34635,
611,31823,
612,31355,
613,30781,
614,31354,
615,32969,
616,29271,
617,29792,
618,30157,
619,29584,
620,30156,
621,30573,
622,44896,
623,30573,
624,30312,
625,29479,
626,30937,
627,34375,
628,29375,
629,29896,
630,29635,
631,29427,
632,29844,
633,30261,
634,31927,
635,31146,
636,33281,
637,30156,
638,29635,
639,34062,
640,30313,
641,30312,
642,29739,
643,29271,
644,45208,
645,30834,
646,29427,
647,30156,
648,30313,
649,31302,
650,30573,
651,45572,
652,31875,
653,30625,
654,44427,
655,31615,
656,29948,
657,31875,
658,30156,
659,29531,
660,31146,
661,29375,
662,29948,
663,30261,
664,29896,
665,45573,
666,30209,
667,31198,
668,30521,
669,29792,
670,30261,
671,30364,
672,29531,
673,29584,
674,44948,
675,31250,
676,31458,
677,44583,
678,30416,
679,30260,
680,31250,
681,30104,
682,29375,
683,30312,
684,31927,
685,29479,
686,44844,
687,32084,
688,31042,
689,44791,
690,29896,
691,29219,
692,33698,
693,29270,
694,52917,
695,44896,
696,30677,
697,30000,
698,31146,
699,29740,
700,29584,
701,31198,
702,33958,
703,30521,
704,45052,
705,30000,
706,30208,
707,34115,
708,29427,
709,29427,
710,29375,
711,30000,
712,34271,
713,29843,
714,29792,
715,30104,
716,29323,
