,n_secs_delay,
0,78802,
1,19427,
2,32500,
3,39740,
4,48698,
5,23125,
6,19271,
7,17917,
8,18073,
9,18854,
10,18385,
11,17240,
12,15573,
13,46510,
14,15261,
15,15000,
16,14375,
17,14167,
18,14219,
19,14167,
20,17292,
21,14062,
22,19584,
23,14218,
24,14062,
25,15625,
26,14844,
27,16302,
28,13854,
29,24167,
30,14948,
31,14688,
32,17917,
33,18646,
34,16875,
35,17083,
36,15938,
37,17917,
38,17500,
39,18073,
40,17344,
41,16406,
42,15833,
43,15938,
44,15990,
45,16875,
46,16094,
47,16459,
48,16406,
49,18021,
50,16042,
51,16615,
52,17083,
53,17344,
54,19844,
55,17917,
56,17188,
57,16667,
58,17708,
59,17604,
60,18177,
61,17448,
62,22343,
63,19114,
64,20781,
65,18750,
66,17969,
67,17187,
68,17709,
69,20313,
70,18697,
71,18958,
72,18125,
73,17552,
74,18594,
75,18959,
76,17344,
77,16667,
78,19427,
79,17291,
80,16667,
81,16094,
82,16354,
83,16510,
84,15833,
85,16302,
86,16875,
87,16146,
88,17865,
89,16250,
90,15885,
91,16511,
92,16198,
93,16510,
94,15782,
95,15989,
96,16927,
97,16146,
98,16406,
99,16406,
100,16041,
101,15886,
102,15469,
103,17083,
104,22031,
105,16719,
106,21667,
107,16355,
108,16458,
109,16198,
110,15782,
111,16198,
112,16927,
113,16250,
114,16198,
115,15990,
116,16094,
117,16563,
118,15885,
119,17552,
120,17865,
121,18386,
122,15938,
123,15833,
124,16198,
125,16355,
126,15990,
127,15885,
128,17031,
129,16354,
130,15834,
131,16198,
132,15990,
133,16771,
134,16719,
135,15885,
136,15833,
137,19063,
138,21510,
139,17552,
140,16615,
141,16875,
142,21927,
143,16094,
144,15885,
145,15677,
146,16198,
147,15365,
148,17031,
149,16094,
150,21094,
151,25104,
152,18386,
153,20365,
154,18125,
155,18229,
156,16719,
157,17135,
158,16875,
159,18438,
160,17553,
161,17291,
162,16615,
163,16042,
164,15833,
165,15781,
166,15625,
167,16302,
168,16823,
169,17760,
170,17188,
171,16615,
172,16406,
173,16771,
174,15938,
175,16510,
176,17604,
177,17031,
178,17084,
179,16250,
180,15833,
181,15990,
182,16146,
183,16146,
184,16042,
185,16510,
186,16927,
187,17136,
188,15782,
189,15678,
190,16093,
191,34062,
192,15208,
193,21666,
194,15990,
195,15573,
196,15208,
197,15886,
198,16406,
199,16719,
200,15573,
201,15990,
202,16823,
203,18646,
204,16563,
205,17708,
206,16667,
207,15313,
208,15677,
209,16198,
210,15885,
211,15521,
212,16250,
213,15782,
214,22292,
215,20156,
216,16927,
217,15937,
218,16042,
219,18802,
220,16927,
221,16719,
222,16667,
223,17188,
224,16510,
225,16823,
226,17239,
227,16927,
228,16042,
229,16250,
230,16354,
231,16667,
232,16562,
233,16355,
234,19323,
235,16771,
236,16407,
237,17240,
238,16302,
239,16719,
240,17292,
241,16510,
242,16771,
243,16562,
244,16459,
245,16615,
246,16927,
247,16302,
248,52083,
249,19479,
250,18958,
251,16458,
252,16094,
253,15729,
254,15886,
255,16042,
256,16042,
257,15886,
258,18437,
259,15833,
260,15469,
261,16145,
262,16355,
263,15833,
264,15781,
265,15989,
266,15677,
267,15625,
268,15990,
269,15729,
270,15677,
271,15573,
272,16198,
273,15782,
274,15729,
275,15729,
276,16042,
277,16042,
278,16458,
279,15677,
280,15781,
281,15781,
282,15781,
283,16042,
284,16146,
285,15781,
286,15625,
287,16042,
288,15781,
289,15573,
290,15990,
291,17760,
292,16407,
293,15625,
294,15833,
295,16042,
296,16302,
297,16250,
298,15834,
299,15416,
300,15521,
301,15990,
302,17032,
303,15677,
304,16198,
305,15730,
306,30000,
307,19323,
308,16719,
309,15937,
310,15521,
311,15625,
312,15469,
313,15834,
314,15781,
315,15834,
316,15833,
317,15521,
318,15885,
319,15781,
320,15625,
321,16146,
322,16042,
323,17448,
324,15729,
325,15573,
326,15677,
327,15521,
328,15469,
329,15937,
330,15521,
331,15677,
332,16302,
333,22708,
334,19011,
335,19114,
336,17552,
337,15833,
338,18438,
339,15729,
340,16407,
341,15781,
342,15833,
343,15469,
344,15833,
345,15677,
346,15730,
347,15885,
348,17500,
349,15782,
350,20312,
351,16458,
352,15781,
353,15729,
354,17605,
355,15625,
356,15781,
357,15729,
358,16093,
359,15782,
360,16198,
361,15521,
362,15416,
363,15729,
364,16042,
365,16302,
366,19427,
367,16406,
368,16459,
369,16354,
370,19531,
371,16771,
372,15834,
373,16146,
374,16562,
375,15365,
376,16771,
377,15469,
378,14323,
379,15260,
380,14323,
381,21510,
382,17761,
383,17031,
384,16979,
385,17865,
386,19323,
387,17917,
388,18594,
389,17761,
390,18438,
391,18541,
392,17604,
393,16198,
394,17448,
395,18386,
396,45625,
397,18386,
398,18177,
399,18906,
400,19688,
401,18021,
402,17813,
403,18385,
404,18542,
405,18542,
406,18542,
407,18958,
408,19427,
409,18438,
410,20000,
411,19010,
412,27865,
413,17656,
414,17552,
415,17291,
416,17448,
417,17500,
418,17552,
419,17760,
420,17188,
421,16823,
422,17135,
423,17188,
424,18230,
425,17709,
426,18593,
427,17968,
428,17292,
429,17500,
430,17344,
431,17291,
432,17552,
433,18229,
434,17500,
435,17084,
436,17813,
437,17708,
438,18021,
439,17865,
440,17969,
441,17656,
442,26093,
443,18594,
444,17657,
445,17605,
446,19584,
447,19584,
448,19115,
449,18281,
450,18750,
451,18021,
452,17864,
453,17812,
454,18333,
455,20312,
456,17395,
457,18750,
458,18437,
459,18125,
460,17760,
461,17864,
462,18333,
463,17760,
464,18229,
465,17813,
466,18281,
467,18125,
468,17500,
469,17864,
470,17604,
471,17812,
472,18282,
473,17709,
474,18072,
475,18021,
476,17761,
477,17917,
478,17968,
479,18698,
480,18125,
481,17396,
482,19323,
483,17395,
484,17708,
485,17448,
486,17656,
487,17864,
488,17813,
489,18385,
490,17864,
491,17500,
492,18125,
493,18438,
494,18125,
495,17760,
496,17813,
497,18333,
498,17917,
499,19740,
500,17396,
501,17396,
502,17812,
503,16667,
504,19271,
505,18125,
506,17708,
507,18177,
508,17761,
509,18645,
510,17917,
511,18438,
512,18855,
513,18125,
514,18490,
515,18438,
516,18177,
517,18698,
518,18281,
519,18229,
520,19583,
521,18177,
522,18021,
523,17396,
524,18073,
525,18541,
526,18438,
527,18073,
528,18958,
529,29375,
530,19688,
531,18646,
532,19427,
533,18750,
534,18958,
535,19739,
536,19479,
537,19896,
538,19375,
539,18177,
540,18594,
541,17552,
542,17917,
543,21354,
544,20364,
545,19792,
546,19791,
547,20313,
548,19375,
549,19167,
550,18594,
551,19271,
552,19479,
553,18958,
554,19739,
555,18125,
556,18438,
557,21355,
558,18750,
559,17656,
560,16250,
561,15677,
562,15521,
563,15729,
564,15468,
565,15625,
566,16562,
567,19323,
568,16406,
569,15833,
570,15990,
571,16250,
572,15781,
573,15468,
574,35521,
575,17500,
576,15781,
577,15417,
578,16146,
579,15312,
580,19062,
581,19323,
582,17969,
583,17968,
584,18073,
585,18906,
586,17969,
587,18282,
588,18803,
589,18854,
590,18438,
591,18802,
592,18333,
593,23802,
594,18490,
595,18386,
596,17448,
597,17552,
598,17083,
599,16875,
600,17395,
601,17344,
602,17031,
603,17604,
604,16979,
605,16458,
606,17031,
607,17761,
608,17083,
609,19896,
610,16562,
611,16927,
612,17083,
613,18542,
614,18594,
615,17344,
616,18385,
617,18021,
618,18437,
619,19218,
620,18489,
621,85990,
622,21302,
623,19219,
624,17604,
625,18385,
626,17969,
627,17604,
628,30729,
629,17813,
630,18489,
631,21823,
632,17604,
633,17916,
634,18385,
635,18386,
636,18490,
637,17760,
638,17969,
639,18959,
640,18437,
641,19427,
642,18542,
643,18958,
644,18594,
645,17396,
646,17136,
647,16146,
648,15156,
649,15416,
650,14948,
651,15156,
652,14844,
653,20364,
654,19323,
655,20260,
656,17240,
657,16719,
658,16979,
659,16927,
660,17292,
661,17396,
662,17500,
663,17292,
664,37031,
665,28438,
666,18020,
667,17396,
668,16823,
669,16771,
670,16146,
671,16563,
672,16563,
673,16823,
674,15729,
675,15000,
676,14948,
677,14636,
678,14792,
679,40781,
680,15781,
681,14739,
682,14375,
683,14375,
684,14271,
685,15677,
686,35625,
687,14739,
688,21875,
689,17761,
690,14583,
691,18438,
692,14427,
693,13906,
694,14011,
695,14688,
696,14792,
697,14948,
698,14948,
699,14531,
700,31146,
701,26042,
702,24583,
703,14583,
704,14427,
705,17292,
706,14114,
707,14948,
708,14532,
709,14844,
710,14792,
711,14635,
712,19948,
713,19375,
714,16250,
715,15677,
716,14844,
717,14947,
718,15156,
719,14844,
720,14531,
721,19427,
722,21250,
723,14635,
724,14688,
725,14843,
726,14948,
727,14687,
728,27500,
729,15208,
730,15573,
731,14896,
732,14792,
733,14167,
734,14218,
735,14271,
736,14323,
737,14687,
738,14218,
739,14115,
740,14218,
741,14011,
742,14219,
743,14270,
744,13854,
745,14687,
746,14375,
747,14219,
748,14167,
749,14114,
750,14219,
751,13907,
752,14219,
753,14322,
754,14323,
755,13854,
756,14427,
757,14427,
758,24479,
759,19271,
760,15312,
761,15208,
762,14896,
763,15260,
764,14792,
765,14635,
766,15000,
767,14687,
768,14635,
769,14427,
770,15208,
771,14635,
772,14791,
773,14843,
774,14636,
775,15104,
776,16979,
777,15260,
778,19271,
779,19427,
780,18334,
781,19167,
782,18437,
783,18803,
784,18438,
785,19114,
786,18385,
787,18594,
788,19010,
789,18542,
790,18072,
791,18854,
792,19375,
793,20052,
794,18021,
795,17708,
796,18594,
797,18542,
798,18958,
799,26302,
800,17656,
801,18542,
802,18177,
803,18698,
804,18229,
805,18073,
806,17865,
807,17865,
808,20625,
809,19271,
810,18697,
811,18489,
812,18334,
813,18125,
814,17812,
815,18021,
816,18698,
817,19270,
818,18437,
819,17604,
820,18541,
821,17604,
822,17917,
823,18334,
824,17969,
825,17761,
826,18021,
827,18125,
828,18229,
829,17812,
830,18385,
831,15833,
832,15260,
833,14479,
834,14948,
835,14271,
836,14427,
837,15104,
838,14792,
839,14948,
840,14427,
841,51719,
842,16510,
843,15521,
844,15364,
845,14636,
846,14687,
847,22188,
848,20364,
849,14948,
850,17396,
851,15000,
852,14584,
853,14844,
854,17292,
855,14479,
856,14532,
857,14323,
858,14219,
859,14427,
860,15208,
861,14635,
862,14532,
863,14583,
864,14843,
865,14375,
866,18386,
867,15938,
868,14687,
869,14635,
870,14427,
871,14114,
872,14271,
873,14011,
874,14270,
875,14479,
876,14323,
877,14323,
878,14271,
879,14271,
880,13802,
881,14219,
882,14323,
883,14584,
884,14635,
885,15156,
886,14427,
887,14219,
888,14115,
889,14479,
890,14635,
891,17292,
892,14479,
893,14740,
894,14531,
895,19792,
896,24427,
897,16041,
898,14896,
899,15208,
900,15208,
901,14479,
902,14531,
903,14792,
904,17396,
905,14270,
906,14323,
907,14531,
908,14063,
909,14323,
910,13958,
911,16823,
912,14427,
913,14531,
914,14323,
915,13750,
916,14895,
917,14011,
918,14010,
919,14271,
920,14271,
921,13959,
922,13906,
923,14063,
924,14011,
925,14219,
926,14011,
927,14011,
928,14375,
929,13959,
930,14219,
931,13958,
932,14219,
933,14844,
934,14218,
935,13854,
936,13802,
937,13854,
938,14479,
939,13907,
940,13802,
941,13958,
942,13854,
943,14115,
944,14323,
945,13855,
946,14114,
947,13958,
948,14063,
949,13907,
950,15521,
951,14271,
952,13958,
953,7031,
954,13854,
955,15000,
956,14219,
957,14323,
958,14531,
959,14479,
960,14687,
961,14063,
962,14531,
963,13958,
964,14479,
965,25885,
966,16355,
967,14947,
968,14167,
969,14375,
970,14062,
971,14115,
972,14323,
973,14166,
974,19792,
975,19896,
976,17656,
977,17812,
978,17656,
979,18073,
980,17708,
981,18021,
982,17969,
983,17552,
984,17968,
985,18490,
986,22605,
987,18542,
988,18333,
989,18542,
990,18073,
991,17917,
992,17969,
993,18229,
994,15469,
995,14479,
996,14791,
997,54479,
998,15938,
999,15364,
1000,15000,
1001,14271,
1002,15521,
1003,14323,
1004,14635,
1005,14479,
1006,14479,
1007,14531,
1008,14532,
1009,14270,
1010,14583,
1011,14323,
1012,14480,
1013,19167,
1014,22240,
1015,15573,
1016,14375,
1017,14791,
1018,14428,
1019,14480,
1020,14219,
1021,14218,
1022,14323,
1023,14166,
1024,14375,
1025,14583,
1026,14688,
1027,29583,
1028,15417,
1029,14375,
1030,14739,
1031,14948,
1032,14636,
1033,22343,
1034,15208,
1035,14844,
1036,14583,
1037,14427,
1038,14323,
1039,14479,
1040,14583,
1041,14219,
1042,30052,
1043,15313,
1044,14583,
1045,14479,
1046,14427,
1047,14219,
1048,20052,
1049,14428,
1050,15104,
1051,14739,
1052,14375,
1053,14323,
1054,14375,
1055,14375,
1056,14375,
1057,24219,
1058,15261,
1059,14375,
1060,33386,
1061,14948,
1062,14271,
1063,14531,
1064,18802,
1065,14062,
1066,14427,
1067,13750,
1068,17708,
1069,15000,
1070,14271,
1071,14375,
1072,14948,
1073,14740,
1074,14271,
1075,14115,
1076,14010,
1077,14271,
1078,14427,
1079,15677,
1080,14427,
1081,14166,
1082,14011,
1083,14167,
1084,14584,
1085,14219,
1086,13906,
1087,18334,
1088,19011,
1089,17708,
1090,17864,
1091,17656,
1092,17292,
1093,18021,
1094,18073,
1095,17968,
1096,18021,
1097,17448,
1098,20730,
1099,17760,
1100,18541,
1101,17865,
1102,17917,
1103,17500,
1104,17396,
1105,17812,
1106,17657,
1107,17604,
1108,18073,
1109,17708,
1110,17344,
1111,17395,
1112,17969,
1113,17656,
1114,18229,
1115,17813,
1116,21146,
1117,17396,
1118,17709,
1119,17292,
1120,18177,
1121,18073,
1122,17708,
1123,17709,
1124,17865,
1125,18906,
1126,17917,
1127,18021,
1128,18072,
1129,17448,
1130,17916,
1131,18542,
1132,16197,
1133,15209,
1134,14687,
1135,24063,
1136,15105,
1137,14375,
1138,14427,
1139,15052,
1140,14427,
1141,14167,
1142,14270,
1143,14115,
1144,14063,
1145,14271,
1146,14583,
1147,14427,
1148,17656,
1149,15416,
1150,14219,
1151,14635,
1152,14219,
1153,13958,
1154,14063,
1155,14427,
1156,14114,
1157,14115,
1158,14114,
1159,13906,
1160,13907,
1161,14531,
1162,14114,
1163,14375,
1164,14270,
1165,14427,
1166,21354,
1167,14635,
1168,14271,
1169,14115,
1170,14323,
1171,14167,
1172,14218,
1173,14063,
1174,13906,
1175,18229,
1176,18438,
1177,18177,
1178,17292,
1179,17760,
1180,18021,
1181,17656,
1182,18229,
1183,17656,
1184,17760,
1185,17656,
1186,17552,
1187,17500,
1188,17292,
1189,17760,
1190,18334,
1191,18021,
1192,18125,
1193,20677,
1194,17761,
1195,17865,
1196,18333,
1197,18021,
1198,17865,
1199,17708,
1200,18281,
1201,28125,
1202,18229,
1203,17968,
1204,17813,
1205,17709,
1206,20052,
1207,17917,
1208,18333,
1209,17917,
1210,17813,
1211,17657,
1212,17292,
1213,18750,
1214,17916,
1215,17240,
1216,18281,
1217,16666,
1218,17552,
1219,17448,
1220,17552,
1221,18073,
1222,23594,
1223,19011,
1224,19219,
1225,17605,
1226,17396,
1227,18021,
1228,18125,
1229,18125,
1230,14844,
1231,14219,
1232,14375,
1233,14115,
1234,14062,
1235,14167,
1236,15260,
1237,13854,
1238,14791,
1239,14011,
1240,13698,
1241,14062,
1242,14323,
1243,14636,
1244,14479,
1245,14323,
1246,14375,
1247,14584,
1248,14115,
1249,14375,
1250,14167,
1251,14427,
1252,13854,
1253,14948,
1254,13906,
1255,14219,
1256,14114,
1257,14166,
1258,14114,
1259,14219,
1260,14375,
1261,14010,
1262,13854,
1263,14270,
1264,14011,
1265,13906,
1266,13802,
1267,13854,
1268,13802,
1269,13593,
1270,15313,
1271,14114,
1272,13594,
1273,13906,
1274,13958,
1275,14479,
1276,14271,
1277,25782,
1278,15260,
1279,14687,
1280,14896,
1281,14167,
1282,14167,
1283,14114,
1284,14271,
1285,14218,
1286,14115,
1287,14010,
1288,14375,
1289,26562,
1290,18021,
1291,18021,
1292,17135,
1293,17448,
1294,17396,
1295,15468,
1296,14427,
1297,15625,
1298,13906,
1299,13959,
1300,13958,
1301,14062,
1302,13854,
1303,13854,
1304,13750,
1305,13698,
1306,14063,
1307,13906,
1308,13906,
1309,14010,
1310,14062,
1311,13958,
1312,17135,
1313,17760,
1314,18438,
1315,17188,
1316,17604,
1317,17396,
1318,17448,
1319,17500,
1320,17239,
1321,17500,
1322,17552,
1323,17500,
1324,17292,
1325,17500,
1326,17292,
1327,17344,
1328,17448,
1329,17813,
1330,17396,
1331,17604,
1332,17500,
1333,17708,
1334,17761,
1335,18021,
1336,15729,
1337,14427,
1338,13958,
1339,13906,
1340,13906,
1341,13959,
1342,13906,
1343,13802,
1344,13959,
1345,13906,
1346,13698,
1347,13854,
1348,14427,
1349,13906,
1350,13854,
1351,14011,
1352,13855,
1353,13854,
1354,13906,
1355,13646,
1356,13750,
1357,13645,
1358,13750,
1359,13802,
1360,13855,
1361,13958,
1362,13958,
1363,13802,
1364,13750,
1365,14271,
1366,13802,
1367,13594,
1368,13698,
1369,13698,
1370,13594,
1371,13854,
1372,13646,
1373,13593,
1374,13698,
1375,13594,
1376,13698,
1377,13906,
1378,14062,
1379,15313,
1380,14271,
1381,13854,
1382,15469,
1383,13698,
1384,14062,
1385,13750,
1386,13854,
1387,13802,
1388,13958,
1389,13646,
1390,13698,
1391,13750,
1392,13698,
1393,13646,
1394,13854,
1395,13750,
1396,13802,
1397,13907,
1398,13698,
1399,13802,
1400,13854,
1401,13906,
1402,13802,
1403,13750,
1404,13854,
1405,13802,
1406,13750,
1407,13750,
1408,13802,
1409,13802,
1410,13697,
1411,13646,
1412,13646,
1413,13698,
1414,13802,
1415,13959,
1416,13854,
1417,16927,
1418,14636,
1419,13958,
1420,13907,
1421,13802,
1422,13698,
1423,13802,
1424,13802,
1425,13698,
1426,13750,
1427,14062,
1428,13906,
1429,13906,
1430,13750,
1431,13750,
1432,13854,
1433,13959,
1434,14063,
1435,13802,
1436,13802,
1437,13750,
1438,13489,
1439,13958,
1440,13958,
1441,13854,
1442,13698,
1443,13906,
1444,13802,
1445,13907,
1446,13698,
1447,13802,
1448,13854,
1449,13750,
1450,14010,
1451,14323,
1452,13802,
1453,18437,
1454,18177,
1455,13750,
1456,18802,
1457,13698,
1458,13959,
1459,16094,
1460,13750,
1461,13646,
1462,14063,
1463,14011,
1464,13750,
1465,13646,
1466,13854,
1467,13854,
1468,13958,
1469,13958,
1470,13750,
1471,13906,
1472,13854,
1473,14010,
1474,13854,
1475,13646,
1476,13646,
1477,13698,
1478,13750,
1479,13906,
1480,13855,
1481,13750,
1482,13854,
1483,13802,
1484,13959,
1485,13802,
1486,14271,
1487,13906,
1488,13854,
1489,13907,
1490,13750,
1491,13750,
1492,14167,
1493,13802,
1494,13906,
1495,13802,
1496,13802,
1497,13802,
1498,13698,
1499,13750,
1500,13854,
1501,13698,
1502,13854,
1503,14427,
1504,13594,
1505,13698,
1506,13750,
1507,13750,
1508,15990,
1509,14114,
1510,15781,
1511,14218,
1512,13906,
1513,13854,
1514,13750,
1515,13750,
1516,13854,
1517,13802,
1518,14010,
1519,15365,
1520,13855,
1521,13958,
1522,13542,
1523,13646,
1524,13698,
1525,13959,
1526,13698,
1527,13698,
1528,13802,
1529,13646,
1530,13750,
1531,13802,
1532,13646,
1533,13698,
1534,13802,
1535,13854,
1536,13854,
1537,13802,
1538,13698,
1539,13697,
1540,13698,
1541,13750,
1542,15260,
1543,13906,
1544,13750,
1545,13698,
1546,13750,
1547,13907,
1548,13802,
1549,13854,
1550,13958,
1551,13698,
1552,14010,
1553,18907,
1554,20104,
1555,13854,
1556,23386,
1557,16510,
1558,16094,
1559,17969,
1560,16302,
1561,19375,
1562,15312,
1563,14844,
1564,14428,
1565,16459,
1566,14843,
1567,14219,
1568,14114,
1569,17135,
1570,13906,
1571,14167,
1572,14062,
1573,13958,
1574,14427,
1575,13854,
1576,14271,
1577,14115,
1578,14062,
1579,14011,
1580,13958,
1581,13750,
1582,14010,
1583,14167,
1584,13958,
1585,13854,
1586,14271,
1587,13906,
1588,13907,
1589,14010,
1590,13907,
1591,13854,
1592,13906,
1593,17916,
1594,14948,
1595,16875,
1596,18072,
1597,17188,
1598,17500,
1599,18959,
1600,17761,
1601,17240,
1602,16875,
1603,17448,
1604,17032,
1605,17083,
1606,15937,
1607,14271,
1608,14166,
1609,13906,
1610,13698,
1611,14115,
1612,13959,
1613,14114,
1614,13802,
1615,13958,
1616,15469,
1617,13854,
1618,14167,
1619,13854,
1620,13802,
1621,14011,
1622,13854,
1623,13854,
1624,13854,
1625,13906,
1626,13906,
1627,13906,
1628,14011,
1629,13854,
1630,13750,
1631,13906,
1632,13958,
1633,13906,
1634,14115,
1635,13802,
1636,13958,
1637,13958,
1638,14010,
1639,13958,
1640,13958,
1641,13750,
1642,13803,
1643,13854,
1644,13802,
1645,13906,
1646,13959,
1647,13906,
1648,13854,
1649,13959,
1650,14062,
1651,14635,
1652,14115,
1653,13750,
1654,13698,
1655,13907,
1656,13750,
1657,13802,
1658,13958,
1659,13750,
1660,13854,
1661,13854,
1662,14010,
1663,14063,
1664,13907,
1665,13802,
1666,13906,
1667,13802,
1668,14167,
1669,13958,
1670,13802,
1671,13698,
1672,13594,
1673,13750,
1674,13750,
1675,13906,
1676,13802,
1677,13959,
1678,13698,
1679,14010,
1680,13854,
1681,13907,
1682,13854,
1683,14167,
1684,14011,
1685,15156,
1686,13802,
1687,13907,
1688,13854,
1689,13854,
1690,13802,
1691,13959,
1692,13958,
1693,13854,
1694,13959,
1695,14010,
1696,13854,
1697,13802,
1698,13906,
1699,13802,
1700,15157,
1701,14114,
1702,14375,
1703,13959,
1704,13854,
1705,13906,
1706,13958,
1707,13854,
1708,13907,
1709,13958,
1710,13698,
1711,13855,
1712,13698,
1713,13854,
1714,13698,
1715,13854,
1716,13698,
1717,13907,
1718,13958,
1719,15260,
1720,13803,
1721,13802,
1722,13750,
1723,13698,
1724,13802,
1725,13854,
1726,13854,
1727,13750,
1728,13958,
1729,14010,
1730,13907,
1731,14010,
1732,14011,
1733,13906,
1734,13646,
1735,13855,
1736,14010,
1737,14062,
1738,14010,
1739,13698,
1740,14010,
1741,13855,
1742,13750,
1743,13802,
1744,13906,
1745,13958,
1746,13958,
1747,13854,
1748,13854,
1749,14062,
1750,14011,
1751,13750,
1752,13854,
1753,13750,
1754,14583,
1755,13906,
1756,13958,
1757,13698,
1758,13802,
1759,13698,
1760,13802,
1761,13750,
1762,13698,
1763,13750,
1764,13854,
1765,13802,
1766,13802,
1767,13750,
1768,13698,
1769,13958,
1770,13854,
1771,14271,
1772,13854,
1773,13906,
1774,13802,
1775,13750,
1776,13854,
1777,13750,
1778,13958,
1779,13750,
1780,14063,
1781,13958,
1782,16511,
1783,13750,
1784,13854,
1785,13855,
1786,13907,
1787,14010,
1788,14166,
1789,13594,
1790,13854,
1791,13854,
1792,13854,
1793,13854,
1794,13750,
1795,13802,
1796,13959,
1797,13854,
1798,13906,
1799,13958,
1800,13802,
1801,13854,
1802,13907,
1803,13593,
1804,13854,
1805,14844,
1806,13906,
1807,13854,
1808,14062,
1809,13958,
1810,13959,
1811,13958,
1812,13854,
1813,13802,
1814,14062,
1815,13959,
1816,13802,
1817,13907,
1818,13906,
1819,13854,
1820,13646,
1821,13959,
1822,13906,
1823,14375,
1824,13906,
1825,13698,
1826,13854,
1827,13750,
1828,13907,
1829,13855,
1830,13854,
1831,13750,
1832,13854,
1833,13958,
1834,13906,
1835,13958,
1836,14375,
1837,14687,
1838,14427,
1839,14635,
