,n_secs_delay,
0,0,
1,-1,
2,77812,
3,28073,
4,30156,
5,49114,
6,44532,
7,29167,
8,62969,
9,46250,
10,-1,
11,-1,
12,-1,
13,-1,
14,-1,
15,-110625,
16,6823,
17,31146,
18,29479,
19,44063,
20,30677,
21,43750,
22,29115,
23,33750,
24,28125,
25,28750,
26,28854,
27,28750,
28,43958,
29,29427,
30,66771,
31,33177,
32,45364,
33,44531,
34,42864,
35,29219,
36,42708,
37,29479,
38,29375,
39,29218,
40,59271,
41,33021,
42,30260,
43,28646,
44,28282,
45,29427,
46,43334,
47,29479,
48,42396,
49,28854,
50,29115,
51,28386,
52,28438,
53,41875,
54,29062,
55,42135,
56,28854,
57,32031,
58,28437,
59,43646,
60,42136,
61,42656,
62,29427,
63,32969,
64,29011,
65,28802,
66,28386,
67,28438,
68,28125,
69,28854,
70,28854,
71,30000,
72,28594,
73,28854,
74,43802,
75,28542,
76,42552,
77,28542,
78,32187,
79,28281,
80,28541,
81,28385,
82,29010,
83,43073,
84,28802,
85,42292,
86,28854,
87,29062,
88,29271,
89,31615,
90,28073,
91,28177,
92,28073,
93,29427,
94,43490,
95,28541,
96,42239,
97,28750,
98,28802,
99,28281,
100,29114,
101,43906,
102,28594,
103,42500,
104,30573,
105,45156,
106,29167,
107,28333,
108,28802,
109,42135,
110,28646,
111,42500,
112,42291,
113,50260,
114,29844,
115,42239,
116,29688,
117,32500,
118,28385,
119,42500,
120,28698,
121,42500,
122,52604,
123,17396,
124,29375,
125,29219,
126,28698,
127,29271,
128,43073,
129,28959,
130,42656,
131,29063,
132,32240,
133,28333,
134,28750,
135,28282,
136,28958,
137,42916,
138,28854,
139,42187,
140,28802,
141,28802,
142,28281,
143,28594,
144,44427,
145,28541,
146,42448,
147,29792,
148,29739,
149,28178,
150,28646,
151,32135,
152,32135,
153,28438,
154,28698,
155,28177,
156,28333,
157,42812,
158,29011,
159,31823,
160,28125,
161,28854,
162,28334,
163,28698,
164,42865,
165,28802,
166,46041,
167,29011,
168,28593,
169,28750,
170,29010,
171,28281,
172,30625,
173,28177,
174,28385,
175,28125,
176,28594,
177,42917,
178,28541,
179,42448,
180,30886,
181,45521,
182,28803,
183,42448,
184,29114,
185,32396,
186,28646,
187,28854,
188,28073,
189,28802,
190,42812,
191,28907,
192,43489,
193,29167,
194,28854,
195,27969,
196,28646,
197,28073,
198,29219,
199,42813,
200,29219,
201,42448,
202,28854,
203,29479,
204,28802,
205,28334,
206,28958,
207,44843,
208,28802,
209,42291,
210,29271,
211,29114,
212,28177,
213,28646,
214,32187,
215,27917,
216,42552,
217,28959,
218,31979,
219,28177,
220,28594,
221,30781,
222,29114,
223,42292,
224,28803,
225,42344,
226,28959,
227,28750,
228,28125,
229,28698,
230,42864,
231,28750,
232,44219,
233,28750,
234,32396,
235,28230,
236,28281,
237,29063,
238,28698,
239,42813,
240,28750,
241,42396,
242,28802,
243,28802,
244,27969,
245,28490,
246,43125,
247,28593,
248,43333,
249,28959,
250,57812,
251,29114,
252,28906,
253,28906,
254,28750,
255,42552,
256,29011,
257,27656,
258,32343,
259,28959,
260,29218,
261,32396,
262,28281,
263,28750,
264,30729,
265,29115,
266,42761,
267,28645,
268,42240,
269,29063,
270,33437,
271,28541,
272,28750,
273,28385,
274,29218,
275,42916,
276,28646,
277,42083,
278,29010,
279,32188,
280,28281,
281,29739,
282,28334,
283,28698,
284,42865,
285,28646,
286,42240,
287,28906,
288,41614,
289,28750,
290,28125,
291,28698,
292,44479,
293,28854,
294,42500,
295,29062,
296,32605,
297,28177,
298,28542,
299,28073,
300,28750,
301,42604,
302,28750,
303,43177,
304,29010,
305,32188,
306,29062,
307,28802,
308,28282,
309,28750,
310,42500,
311,28542,
312,42343,
313,28854,
314,29427,
315,28542,
316,28750,
317,28438,
318,29375,
319,42448,
320,28958,
321,42344,
322,29062,
323,28594,
324,28230,
325,29792,
326,28230,
327,28386,
328,43281,
329,29896,
330,42396,
331,28802,
332,28698,
333,28282,
334,29375,
335,43229,
336,29479,
337,44428,
338,28750,
339,32500,
340,28073,
341,-998972083,
342,42604,
343,30886,
344,28906,
345,32396,
346,28177,
347,29011,
348,28698,
349,28489,
350,42552,
351,28750,
352,42500,
353,28854,
354,28593,
355,28177,
356,28802,
357,43542,
358,28958,
359,43750,
360,26614,
361,30260,
362,26146,
363,26406,
364,25834,
365,27240,
366,40156,
367,26875,
368,39792,
369,27552,
370,26927,
371,25938,
372,40677,
373,26823,
374,40052,
375,26563,
376,42812,
377,28906,
378,28646,
379,28958,
380,29635,
381,44270,
382,28750,
383,42344,
384,31458,
385,42396,
386,29218,
387,42187,
388,29011,
389,31823,
390,30208,
391,29218,
392,29062,
393,28854,
394,42448,
395,28750,
396,42031,
397,28646,
398,28489,
399,28281,
400,35156,
401,44323,
402,29687,
403,42604,
404,28906,
405,28594,
406,28125,
407,28750,
408,44115,
409,28958,
410,42187,
411,28958,
412,32239,
413,28386,
414,30000,
415,28177,
416,28229,
417,42552,
418,28698,
419,-1,
420,56771,
421,29115,
422,42708,
423,29479,
424,33021,
425,29375,
426,28229,
427,42864,
428,29531,
429,28489,
430,42448,
431,29115,
432,32448,
433,28386,
434,29166,
435,28281,
436,29687,
437,42812,
438,28698,
439,42083,
440,28959,
441,32343,
442,28437,
443,28750,
444,28593,
445,28854,
446,42552,
447,29115,
448,42708,
449,29062,
450,33437,
451,28646,
452,28646,
453,28125,
454,32917,
455,42448,
456,28541,
457,28021,
458,43542,
459,28906,
460,44531,
461,28750,
462,29114,
463,28281,
464,29166,
465,42656,
466,28854,
467,42344,
468,28906,
469,28802,
470,28281,
471,28802,
472,30729,
473,32136,
474,28594,
475,29010,
476,28125,
477,28541,
478,42760,
479,29427,
480,42917,
481,28906,
482,28541,
483,28541,
484,28698,
485,28385,
486,28125,
487,42396,
488,29636,
489,42500,
490,29844,
491,28802,
492,28230,
493,29011,
494,28177,
495,29583,
496,43073,
497,29011,
498,42395,
499,28646,
500,28802,
501,29166,
502,28750,
503,28177,
504,28489,
505,43021,
506,28907,
507,42240,
508,29062,
509,28594,
510,42604,
511,42083,
512,29167,
513,32656,
514,28490,
515,28542,
516,28125,
517,28907,
518,42864,
519,28854,
520,42396,
521,28646,
522,33072,
523,28438,
524,28438,
525,28229,
526,28698,
527,42761,
528,28906,
529,42240,
530,29115,
531,32395,
532,28333,
533,29687,
534,28073,
535,28802,
536,42865,
537,28490,
538,42084,
539,29166,
540,42135,
541,28802,
542,28282,
543,28907,
544,43385,
545,28802,
546,42240,
547,29167,
548,42604,
549,28854,
550,42031,
551,29010,
552,32448,
553,28542,
554,28750,
555,29063,
556,28646,
557,42865,
558,28958,
559,42135,
560,28959,
561,32604,
562,28438,
563,29063,
564,28541,
565,28698,
566,43698,
567,28959,
568,42812,
569,28750,
570,32708,
571,28282,
572,28750,
573,28073,
574,28698,
575,42135,
576,28750,
577,43177,
578,29010,
579,29219,
580,28489,
581,28855,
582,28385,
583,28230,
584,55468,
585,28594,
586,31927,
587,28281,
588,29479,
589,31250,
590,28489,
591,42761,
592,42083,
593,28750,
594,44479,
595,42135,
596,28802,
597,41927,
598,28906,
599,29427,
600,29062,
601,29062,
602,46093,
603,28958,
604,41927,
605,29010,
606,32031,
607,28541,
608,28594,
609,28385,
610,30261,
611,42760,
612,28854,
613,42500,
614,28854,
615,32500,
616,29427,
617,28698,
618,28125,
619,28646,
620,42553,
621,29635,
622,42500,
623,29062,
624,55417,
625,42396,
626,28906,
627,42552,
628,29323,
629,28594,
630,28750,
631,28750,
632,28854,
633,28698,
634,45937,
635,29115,
636,28490,
637,28698,
638,28177,
639,28437,
640,42708,
641,29115,
642,43542,
643,28958,
644,32136,
645,28750,
646,28750,
647,28229,
648,28802,
649,42292,
650,28593,
651,42448,
652,29062,
653,28334,
654,28541,
655,28646,
656,28229,
657,28802,
658,42656,
659,28645,
660,42395,
661,29115,
662,42396,
663,29479,
664,28802,
665,28907,
666,28438,
667,28645,
668,29583,
669,42760,
670,29010,
671,42396,
672,28854,
673,44375,
674,29583,
675,28073,
676,28489,
677,27969,
678,28230,
679,29011,
680,43646,
681,28803,
682,42917,
683,28802,
684,32031,
685,28385,
686,28750,
687,28490,
688,28958,
689,42760,
690,28958,
691,42031,
692,28959,
693,28958,
694,28385,
695,28489,
696,29323,
697,28541,
698,44167,
699,28802,
700,42239,
701,28593,
702,42864,
703,28750,
704,28594,
705,28593,
706,28229,
707,29688,
708,43542,
709,28854,
710,42447,
711,28854,
712,42604,
713,29219,
714,32656,
715,28437,
