,n_secs_delay,
0,0,
1,-1,
2,74427,
3,30000,
4,28438,
5,31250,
6,26459,
7,26875,
8,26719,
9,27239,
10,30104,
11,48906,
12,32813,
13,29062,
14,42448,
15,28906,
16,28646,
17,30834,
18,42553,
19,44740,
20,31354,
21,30572,
22,30104,
23,29948,
24,42552,
25,32761,
26,35989,
27,41771,
28,30782,
29,35417,
30,31250,
31,30052,
32,41354,
33,71875,
34,48750,
35,48333,
36,30677,
37,48907,
38,34896,
39,30573,
40,29688,
41,35208,
42,29688,
43,29688,
44,29375,
45,29375,
46,41823,
47,33854,
48,29323,
49,29479,
50,29635,
51,29739,
52,29115,
53,35469,
54,35520,
55,30156,
56,41302,
57,30000,
58,29480,
59,35208,
60,30208,
61,29270,
62,41459,
63,29479,
64,31927,
65,31562,
66,30469,
67,31979,
68,30104,
69,35677,
70,30312,
71,41875,
72,30157,
73,29063,
74,30156,
75,29167,
76,35365,
77,35677,
78,29740,
79,41562,
80,30053,
81,29479,
82,36093,
83,29896,
84,34636,
85,29844,
86,30625,
87,29531,
88,30417,
89,29531,
90,30260,
91,42605,
92,35625,
93,30625,
94,41667,
95,30208,
96,30885,
97,29740,
98,31771,
99,31041,
100,35833,
101,30000,
102,29375,
103,29636,
104,29218,
105,41823,
106,29895,
107,35365,
108,42031,
109,30365,
110,35417,
111,30157,
112,30208,
113,42343,
114,29896,
115,29688,
116,29531,
117,29323,
118,29428,
119,35677,
120,30364,
121,41511,
122,29791,
123,29792,
124,29636,
125,29740,
126,36094,
127,41406,
128,31250,
129,35156,
130,30052,
131,29740,
132,44323,
133,30364,
134,30521,
135,29635,
136,29583,
137,33021,
138,29115,
139,29688,
140,31875,
141,30156,
142,35625,
143,30209,
144,29218,
145,29219,
146,28906,
147,42135,
148,29583,
149,35468,
150,41928,
151,32708,
152,34792,
153,30521,
154,31614,
155,41823,
156,30052,
157,35000,
158,33646,
159,31823,
160,41510,
161,30104,
162,30156,
163,29375,
164,29532,
165,29427,
166,30573,
167,29635,
168,35417,
169,33542,
170,29948,
171,47708,
172,30000,
173,29948,
174,33020,
175,29219,
176,29687,
177,29010,
178,42448,
179,29531,
180,48542,
181,58542,
182,29896,
183,48542,
184,29948,
185,30260,
186,33333,
187,29375,
188,29167,
189,29739,
190,29323,
191,29792,
192,29271,
193,35625,
194,29895,
195,41822,
196,34792,
197,30625,
198,41510,
199,29896,
200,29635,
201,35364,
202,29688,
203,35364,
204,29219,
205,30105,
206,29323,
207,29271,
208,42031,
209,32968,
210,30104,
211,30260,
212,29479,
213,29271,
214,29531,
215,29375,
216,30209,
217,29063,
218,35521,
219,34323,
220,29531,
221,41302,
222,35834,
223,65313,
224,32916,
225,30520,
226,43958,
227,30417,
228,30625,
229,43021,
230,28906,
231,28750,
232,30000,
233,28959,
234,27969,
235,27864,
236,28593,
237,29062,
238,28021,
239,35000,
240,27760,
241,42188,
242,33021,
243,28021,
244,30052,
245,28281,
246,28333,
247,28854,
248,28021,
249,27865,
250,28750,
251,30313,
252,28125,
253,42136,
254,28438,
255,29011,
256,30937,
257,27969,
258,30989,
259,28906,
260,51823,
261,28438,
262,27969,
263,44532,
264,29531,
265,30000,
266,28750,
267,27864,
268,28021,
269,28646,
270,28333,
271,27656,
272,42500,
273,30625,
274,29427,
275,42031,
276,28437,
277,29114,
278,30520,
279,29166,
280,28230,
281,25521,
282,30989,
283,28021,
284,28125,
285,28021,
286,32188,
287,28125,
288,27396,
289,28906,
290,28437,
291,27500,
292,29167,
293,28542,
294,27865,
295,42865,
296,28542,
297,28906,
298,27709,
299,29427,
300,30730,
301,28854,
302,41510,
303,28334,
304,27553,
305,31198,
306,29791,
307,31302,
308,28542,
309,28490,
310,27656,
311,28594,
312,41875,
313,29635,
314,29583,
315,28386,
316,28958,
317,48073,
318,29062,
319,28125,
320,29740,
321,29062,
322,28437,
323,27968,
324,29219,
325,28073,
326,41979,
327,30990,
328,28802,
329,41458,
330,28958,
331,28073,
332,32448,
333,27761,
334,28906,
335,28593,
336,29218,
337,27500,
338,29843,
339,31927,
340,29115,
341,42344,
342,28645,
343,28698,
344,27917,
345,28021,
346,30469,
347,29323,
348,28281,
349,31146,
350,28281,
351,32187,
352,27395,
353,42343,
354,29844,
355,29219,
356,41510,
357,28646,
358,29010,
359,30000,
360,28750,
361,27813,
362,44166,
363,28541,
364,29166,
365,29115,
366,28125,
367,32136,
368,28020,
369,27708,
370,28489,
371,28125,
372,27448,
373,41771,
374,31563,
375,28438,
376,29635,
377,30365,
378,42656,
379,26614,
380,30156,
381,42969,
382,28594,
383,29791,
384,28645,
385,27708,
386,42604,
387,28333,
388,31042,
389,28386,
390,29583,
391,27552,
392,28386,
393,29688,
394,29323,
395,41875,
396,28333,
397,29323,
398,29948,
399,28281,
400,28281,
401,27865,
402,28802,
403,27813,
404,41979,
405,29375,
406,27969,
407,30208,
408,30260,
409,28906,
410,28281,
411,27500,
412,28333,
413,28281,
414,27500,
415,42084,
416,28594,
417,28542,
418,30885,
419,30990,
420,28854,
421,27812,
422,28125,
423,27656,
424,27344,
425,30677,
426,28646,
427,41511,
428,28958,
429,27968,
430,31198,
431,27968,
432,29791,
433,29844,
434,41510,
435,29583,
436,29218,
437,41770,
438,28542,
439,29219,
440,30000,
441,29791,
442,28281,
443,27760,
444,28958,
445,27864,
446,41928,
447,31511,
448,28698,
449,41459,
450,28230,
451,28542,
452,30521,
453,28750,
454,27917,
455,28385,
456,28802,
457,29063,
458,41667,
459,29531,
460,29219,
461,41458,
462,29635,
463,42292,
464,29583,
465,29271,
466,28906,
467,31667,
468,27969,
469,27812,
470,28489,
471,27604,
472,27396,
473,28437,
474,42084,
475,29739,
476,29427,
477,28437,
478,26563,
479,42656,
480,28229,
481,31250,
482,27761,
483,29323,
484,27865,
485,29739,
486,30677,
487,28646,
488,42396,
489,29011,
490,31406,
491,30104,
492,29115,
493,28385,
494,32135,
495,28437,
496,27708,
497,28437,
498,28333,
499,27500,
500,42083,
501,31667,
502,28959,
503,31146,
504,28802,
505,29062,
506,31459,
507,28229,
508,27553,
509,27500,
510,29063,
511,27761,
512,41979,
513,51146,
514,28541,
515,30990,
516,28802,
517,28802,
518,31771,
519,28646,
520,41614,
521,29219,
522,29895,
523,27812,
524,28333,
525,29532,
526,28178,
527,31614,
528,28541,
529,28698,
530,27760,
531,29635,
532,29479,
533,43386,
534,28958,
535,27864,
536,28333,
537,28646,
538,27812,
539,42136,
540,29844,
541,29428,
542,41823,
543,28907,
544,29688,
545,31979,
546,29271,
547,29531,
548,28802,
549,28802,
550,27865,
551,27813,
552,29584,
553,27864,
554,42240,
555,29219,
556,27709,
557,31198,
558,28645,
559,29219,
560,29062,
561,28437,
562,28385,
563,28542,
564,30157,
565,28437,
566,41822,
567,28333,
568,28906,
569,28230,
570,31979,
571,31094,
572,28542,
573,41771,
574,28177,
575,28594,
576,28177,
577,29271,
578,28854,
579,43177,
580,28907,
581,27969,
582,28802,
583,28802,
584,27760,
585,29896,
586,41511,
587,29063,
588,45782,
589,45260,
590,32552,
591,31355,
592,44792,
593,31198,
594,30677,
595,30312,
596,30938,
597,31458,
598,33906,
599,30678,
600,44844,
601,30625,
602,37969,
603,34063,
604,28645,
605,29791,
606,29479,
607,28594,
608,28385,
609,29011,
610,28750,
611,28177,
612,27812,
613,30729,
614,29166,
615,41719,
616,28906,
617,29792,
618,30937,
619,28698,
620,28906,
621,29062,
622,27968,
623,28021,
624,41979,
625,29948,
626,29688,
627,42187,
628,28489,
629,29010,
630,30104,
631,28593,
632,28802,
633,41980,
634,28333,
635,29948,
636,27656,
637,28698,
638,27812,
639,29584,
640,42240,
641,28542,
642,29480,
643,28698,
644,28073,
645,34219,
646,27865,
647,28333,
648,28489,
649,27865,
650,27760,
651,41979,
652,31927,
653,29010,
654,30052,
655,28698,
656,27864,
657,42656,
658,31198,
659,29687,
660,29011,
661,27916,
662,28542,
663,29062,
664,28229,
665,28125,
666,27865,
667,42500,
668,29271,
669,29583,
670,28854,
671,28698,
672,46459,
673,31354,
674,43854,
675,30573,
676,31094,
677,45000,
678,30677,
679,30677,
680,33906,
681,30833,
682,30573,
683,31042,
684,31562,
685,30677,
686,55104,
687,42447,
688,42188,
689,32917,
690,29739,
691,36303,
692,30156,
693,41771,
694,35885,
695,30729,
696,41562,
697,30260,
698,32396,
699,35885,
700,32396,
701,33386,
702,29896,
703,29843,
704,29271,
705,29531,
706,71927,
707,35729,
708,30364,
709,42240,
710,32396,
711,29323,
712,29427,
713,29427,
714,29583,
715,29323,
716,35729,
