,n_secs_delay,
0,0,
1,-1,
2,-1,
3,34011,
4,29531,
5,30677,
6,49583,
7,28802,
8,28177,
9,28072,
10,28229,
11,42552,
12,27968,
13,27812,
14,27343,
15,26927,
16,46719,
17,27760,
18,29375,
19,26666,
20,27552,
21,43334,
22,27344,
23,46407,
24,29218,
25,35729,
26,31354,
27,30678,
28,43906,
29,31510,
30,36198,
31,-1,
32,15834,
33,45782,
34,33646,
35,46510,
36,31823,
37,28073,
38,40625,
39,27240,
40,41354,
41,28542,
42,41250,
43,37709,
44,32812,
45,29479,
46,46927,
47,29636,
48,44531,
49,31354,
50,30573,
51,28386,
52,28593,
53,44948,
54,31927,
55,29323,
56,44687,
57,28959,
58,43385,
59,29792,
60,28750,
61,29531,
62,30886,
63,41979,
64,27291,
65,27448,
66,27448,
67,26928,
68,43646,
69,27292,
70,35208,
71,27292,
72,29323,
73,41458,
74,26875,
75,29115,
76,26303,
77,26667,
78,40105,
79,27291,
80,49167,
81,32500,
82,27187,
83,42709,
84,28490,
85,41563,
86,29062,
87,27135,
88,35729,
89,32292,
90,27708,
91,44739,
92,42604,
93,28385,
94,40625,
95,27292,
96,43802,
97,27969,
98,27865,
99,27552,
100,27761,
101,26979,
102,27917,
103,44271,
104,30469,
105,29948,
106,26979,
107,27761,
108,43281,
109,29375,
110,28125,
111,27343,
112,26875,
113,28020,
114,26562,
115,42969,
116,28593,
117,28854,
118,27761,
119,26510,
120,43750,
121,27500,
122,31459,
123,31563,
124,31354,
125,34583,
126,31511,
127,48907,
128,34948,
129,30730,
130,30937,
131,33802,
132,45261,
133,30833,
134,42291,
135,30469,
136,27187,
137,28698,
138,26667,
139,40521,
140,34010,
141,28489,
142,40521,
143,31302,
144,28177,
145,29792,
146,43541,
147,30417,
148,41719,
149,32448,
150,36771,
151,31250,
152,28333,
153,43698,
154,28229,
155,27500,
156,27865,
157,28437,
158,29844,
159,27760,
160,42343,
161,26875,
162,30364,
163,28698,
164,28542,
165,40416,
166,27552,
167,40365,
168,27188,
169,26666,
170,41562,
171,26823,
172,41928,
173,28333,
174,27657,
175,26667,
176,26302,
177,41354,
178,26927,
179,66198,
180,27500,
181,45885,
182,30312,
183,28177,
184,30625,
185,32969,
186,-1,
187,25833,
188,45260,
189,30520,
190,29011,
191,40573,
192,27656,
193,29583,
194,32239,
195,33021,
196,27968,
197,32500,
198,27239,
199,44532,
200,27865,
201,27031,
202,28802,
203,25937,
204,40521,
205,26823,
206,27865,
207,39792,
208,26406,
209,40625,
210,28438,
211,26302,
212,26459,
213,26563,
214,40156,
215,26406,
216,27708,
217,25990,
218,26198,
219,39583,
220,26771,
221,30261,
222,26719,
223,26250,
224,40729,
225,26250,
226,31250,
227,25989,
228,42865,
229,40625,
230,27031,
231,29739,
232,25729,
233,25937,
234,40000,
235,26719,
236,41302,
237,27136,
238,40416,
239,26302,
240,26145,
241,46771,
242,26510,
243,40156,
244,26407,
245,26302,
246,39844,
247,27760,
248,28750,
249,26666,
250,34844,
251,30365,
252,41927,
253,26511,
254,26719,
255,40156,
256,27344,
257,39479,
258,26563,
259,26927,
260,26562,
261,25885,
262,40104,
263,27448,
264,26563,
265,-1,
266,35521,
267,38542,
268,26302,
269,26407,
270,26510,
271,26093,
272,40625,
273,26198,
274,30208,
275,25886,
276,27708,
277,26302,
278,25937,
279,59062,
280,38177,
281,42604,
282,28906,
283,28541,
284,28594,
285,27760,
286,42761,
287,30417,
288,42396,
289,29844,
290,43386,
291,28750,
292,31823,
293,27812,
294,42708,
295,29063,
296,28281,
297,28385,
298,28229,
299,42240,
300,32240,
301,27761,
302,42761,
303,28125,
304,30052,
305,29948,
306,29010,
307,28178,
308,29063,
309,43438,
310,28854,
311,32292,
312,29531,
313,28229,
314,42448,
315,28489,
316,32188,
317,28802,
318,28281,
319,42500,
320,28490,
321,31875,
322,28177,
323,27865,
324,41302,
325,28854,
326,41979,
327,28230,
328,28593,
329,41979,
330,28282,
331,43438,
332,28854,
333,28542,
334,43125,
335,28646,
336,41927,
337,28438,
338,28177,
339,28334,
340,27761,
341,27968,
342,28958,
343,28073,
344,43854,
345,29792,
346,27917,
347,27969,
348,42292,
349,28489,
350,42291,
351,28333,
352,29479,
353,41667,
354,28073,
355,28021,
356,28229,
357,-1,
358,53907,
359,35782,
360,52084,
361,56510,
362,30364,
363,30000,
364,33385,
365,31302,
366,28698,
367,32136,
368,34063,
369,33021,
370,35677,
371,47760,
372,30729,
373,46667,
374,32239,
375,34375,
376,30000,
377,32448,
378,45625,
379,32761,
380,-1,
381,11718,
382,36823,
383,32188,
384,32552,
385,30521,
386,32448,
387,51875,
388,36094,
389,36719,
390,36406,
391,33333,
392,34010,
393,56354,
394,35625,
395,33229,
396,40260,
397,35885,
398,30938,
399,33229,
400,31979,
401,40417,
402,38125,
403,54375,
404,36979,
405,33646,
406,35000,
407,34740,
408,51146,
409,35521,
410,49844,
411,37396,
412,33906,
413,32291,
414,33073,
415,52031,
416,32865,
417,33854,
418,33125,
419,35521,
420,-1,
421,-1,
422,-1,
423,-1,
424,-1,
425,-1,
426,-1,
427,-1,
428,-1,
429,-1,
430,-1,
431,-1,
432,-1,
433,-1,
434,-1,
435,-1,
436,-1,
437,-1,
438,-1,
439,-1,
440,-1,
441,-1,
442,33073,
443,53282,
444,32395,
445,33802,
446,31979,
447,35313,
448,32032,
449,31250,
450,36094,
451,31562,
452,33959,
453,33541,
454,34479,
455,33594,
456,29427,
457,30521,
458,29479,
459,30469,
460,30417,
461,28177,
462,29271,
463,32969,
464,28750,
465,28698,
466,28802,
467,28542,
468,32239,
469,28438,
470,30104,
471,28230,
472,34531,
473,62031,
474,34218,
475,38125,
476,29688,
477,28907,
478,48854,
479,29896,
480,32864,
481,31823,
482,31041,
483,22396,
484,45104,
485,32032,
486,30677,
487,31459,
488,46146,
489,-1,
490,-1,
491,-1,
492,-1,
493,-1,
494,78750,
495,40104,
496,32708,
497,30886,
498,40104,
499,49219,
500,30833,
501,67396,
502,30000,
503,36458,
504,33073,
505,39583,
506,31042,
507,34271,
508,30157,
509,30469,
510,36094,
511,30521,
512,34636,
513,30208,
514,30052,
515,36198,
516,30781,
517,36458,
518,30677,
519,30052,
520,30313,
521,65365,
522,35833,
523,32135,
524,30312,
525,30365,
526,30208,
527,36875,
528,31250,
529,36562,
530,30365,
531,30521,
532,37395,
533,29948,
534,33020,
535,29948,
536,53906,
537,30312,
538,30052,
539,30521,
540,30261,
541,54063,
542,30313,
543,54896,
544,30833,
545,29896,
546,30625,
547,30052,
548,54270,
549,30365,
550,33958,
551,30052,
552,29948,
553,53802,
554,30157,
555,52552,
556,30417,
557,29791,
558,30104,
559,30000,
560,53490,
561,30208,
562,34114,
563,29844,
564,32552,
565,54896,
566,30313,
567,54167,
568,31302,
569,-1,
570,26458,
571,30313,
572,43230,
573,30156,
574,33802,
575,30365,
576,30000,
577,30416,
578,30313,
579,30208,
580,32239,
581,29896,
582,33125,
583,32761,
584,45729,
585,30729,
586,35052,
587,58490,
588,44323,
589,33281,
590,33542,
591,32708,
592,31250,
593,64011,
594,32395,
595,54375,
596,31198,
597,53489,
598,29948,
599,30260,
600,32917,
601,33698,
602,33438,
603,34323,
604,51406,
605,33282,
606,35833,
607,33385,
608,33959,
609,40208,
610,36250,
611,36250,
612,34948,
613,67291,
614,40625,
615,40156,
616,75417,
617,81823,
618,55781,
619,35261,
620,33906,
621,36875,
622,58125,
623,43542,
624,33021,
625,34010,
626,34896,
627,39323,
628,37604,
629,50208,
630,40834,
631,57761,
632,31250,
633,58229,
634,35261,
635,35937,
636,36093,
637,69791,
638,47344,
639,54010,
640,33333,
641,54271,
642,33698,
643,33489,
644,36875,
645,36875,
646,46198,
647,55938,
648,30312,
649,52656,
650,31406,
651,32396,
652,30365,
653,29740,
654,53073,
655,30052,
656,52761,
657,30104,
658,29531,
659,30104,
660,29688,
661,52865,
662,31510,
663,34948,
664,29948,
665,29740,
666,52604,
667,29843,
668,30260,
669,29948,
670,29740,
671,29791,
672,52917,
673,29740,
674,33854,
675,29635,
676,-1,
677,-1,
678,44532,
679,53281,
680,52552,
681,30468,
682,52448,
683,29844,
684,52656,
685,29740,
686,29687,
687,30313,
688,33854,
689,29948,
690,53281,
691,52656,
692,53177,
693,49739,
694,49480,
695,53334,
696,33802,
697,57917,
698,34843,
699,38959,
700,32396,
701,33333,
702,33437,
703,31927,
704,53437,
705,42084,
706,33021,
707,32968,
708,33489,
709,58021,
710,33229,
711,42916,
712,33803,
713,46042,
714,44010,
715,43958,
716,34323,
