,n_secs_delay,
0,54271,
1,26458,
2,19062,
3,19115,
4,25677,
5,19479,
6,19010,
7,19844,
8,23333,
9,20521,
10,19479,
11,21198,
12,19844,
13,18854,
14,18907,
15,20677,
16,19010,
17,20104,
18,26510,
19,24271,
20,22813,
21,22291,
22,29270,
23,22448,
24,22865,
25,25990,
26,23542,
27,23229,
28,23281,
29,25000,
30,23750,
31,58907,
32,28490,
33,22240,
34,21562,
35,21302,
36,21458,
37,21510,
38,21093,
39,21094,
40,21146,
41,21042,
42,21146,
43,20729,
44,20990,
45,20833,
46,20625,
47,20781,
48,20781,
49,20625,
50,20886,
51,20989,
52,21406,
53,20833,
54,21511,
55,20468,
56,20625,
57,20417,
58,20521,
59,20938,
60,20729,
61,20990,
62,20521,
63,20469,
64,20469,
65,20521,
66,20365,
67,20468,
68,20781,
69,20469,
70,21771,
71,20677,
72,20365,
73,20573,
74,20625,
75,20469,
76,20416,
77,20416,
78,63958,
79,20573,
80,23646,
81,22187,
82,21771,
83,21510,
84,21771,
85,23073,
86,21562,
87,21511,
88,21510,
89,21458,
90,21406,
91,21459,
92,21510,
93,21459,
94,21458,
95,21458,
96,21354,
97,22031,
98,22032,
99,21979,
100,21615,
101,21458,
102,21927,
103,21459,
104,21406,
105,21719,
106,19948,
107,19479,
108,19531,
109,19688,
110,19583,
111,19219,
112,19583,
113,19583,
114,19218,
115,19427,
116,19375,
117,19531,
118,20625,
119,19583,
120,19532,
121,19479,
122,19583,
123,19375,
124,19531,
125,19480,
126,19531,
127,19479,
128,19427,
129,19531,
130,18697,
131,19271,
132,19636,
133,19323,
134,19427,
135,20625,
136,19531,
137,19427,
138,19531,
139,19636,
140,19532,
141,19583,
142,19375,
143,19375,
144,19375,
145,19479,
146,18698,
147,19323,
148,19635,
149,19427,
150,19480,
151,19532,
152,20572,
153,19583,
154,19427,
155,19375,
156,19479,
157,19427,
158,19323,
159,19427,
160,19531,
161,19583,
162,19375,
163,19166,
164,19740,
165,19479,
166,19531,
167,19375,
168,19584,
169,19532,
170,19531,
171,19636,
172,19635,
173,19479,
174,19427,
175,19479,
176,20000,
177,20677,
178,19115,
179,19635,
180,19479,
181,19583,
182,19688,
183,19375,
184,19479,
185,20937,
186,19010,
187,20208,
188,19375,
189,19375,
190,19583,
191,19375,
192,19532,
193,18802,
194,19427,
195,19271,
196,18802,
197,19427,
198,19531,
199,19531,
200,19479,
201,19427,
202,20416,
203,19740,
204,19427,
205,19584,
206,19584,
207,19635,
208,19479,
209,18854,
210,19271,
211,19427,
212,19532,
213,19479,
214,19375,
215,19532,
216,19531,
217,19531,
218,19323,
219,20729,
220,19427,
221,19375,
222,18698,
223,19532,
224,19583,
225,18906,
226,19427,
227,19635,
228,19479,
229,19322,
230,19271,
231,19323,
232,19479,
233,19427,
234,19635,
235,19479,
236,20417,
237,19427,
238,19531,
239,19636,
240,19896,
241,19062,
242,19583,
243,19375,
244,19375,
245,19636,
246,19531,
247,19427,
248,19427,
249,19479,
250,19583,
251,19427,
252,19532,
253,20730,
254,19322,
255,19428,
256,19844,
257,18906,
258,19531,
259,19739,
260,19375,
261,19479,
262,19427,
263,19636,
264,19636,
265,50000,
266,22709,
267,21875,
268,21563,
269,23073,
270,21562,
271,21511,
272,21563,
273,21458,
274,21615,
275,21458,
276,21458,
277,21458,
278,21355,
279,21511,
280,21458,
281,21458,
282,21667,
283,21354,
284,21302,
285,21510,
286,22604,
287,21666,
288,21250,
289,21458,
290,21198,
291,21406,
292,21562,
293,21459,
294,21250,
295,21198,
296,21511,
297,21354,
298,21459,
299,21354,
300,21354,
301,21302,
302,21302,
303,22813,
304,21406,
305,21354,
306,21511,
307,21510,
308,21354,
309,21406,
310,21458,
311,21511,
312,27605,
313,21823,
314,27709,
315,21771,
316,21459,
317,21458,
318,21510,
319,23229,
320,21667,
321,21406,
322,21355,
323,21511,
324,21562,
325,21302,
326,21614,
327,21354,
328,21355,
329,21459,
330,21510,
331,21458,
332,21511,
333,21562,
334,21354,
335,21667,
336,22552,
337,21614,
338,21407,
339,21510,
340,21458,
341,21302,
342,21458,
343,21354,
344,21354,
345,21563,
346,21354,
347,21355,
348,21667,
349,21302,
350,21302,
351,21615,
352,21250,
353,22812,
354,21355,
355,21511,
356,21458,
357,21302,
358,21354,
359,21510,
360,21510,
361,21302,
362,21406,
363,21250,
364,21458,
365,21458,
366,21406,
367,21875,
368,21458,
369,21354,
370,22604,
371,21406,
372,21459,
373,21511,
374,21302,
375,21406,
376,21406,
377,21458,
378,21354,
379,21250,
380,21302,
381,21459,
382,21615,
383,21666,
384,21354,
385,21354,
386,21407,
387,22605,
388,21615,
389,21302,
390,21718,
391,21458,
392,21354,
393,21198,
394,21354,
395,21302,
396,21458,
397,21511,
398,21302,
399,21510,
400,21406,
401,21511,
402,21615,
403,21459,
404,22136,
405,21562,
406,21354,
407,21355,
408,21250,
409,21510,
410,21459,
411,21406,
412,21562,
413,21719,
414,21667,
415,21354,
416,21458,
417,21459,
418,21614,
419,21354,
420,22917,
421,21563,
422,21563,
423,21615,
424,21510,
425,21823,
426,19323,
427,19271,
428,19583,
429,19219,
430,19479,
431,20990,
432,19427,
433,19218,
434,19479,
435,19479,
436,19583,
437,20573,
438,19375,
439,19011,
440,19688,
441,19896,
442,19480,
443,20000,
444,19635,
445,19479,
446,19584,
447,18802,
448,19375,
449,19427,
450,19115,
451,19323,
452,19375,
453,19479,
454,20208,
455,19479,
456,19479,
457,19375,
458,19323,
459,19635,
460,19375,
461,19427,
462,19687,
463,19011,
464,19427,
465,19480,
466,19635,
467,19635,
468,19583,
469,19688,
470,19479,
471,20469,
472,19479,
473,19428,
474,19323,
475,19375,
476,19271,
477,18959,
478,19896,
479,18854,
480,19583,
481,19635,
482,19480,
483,19427,
484,19322,
485,19480,
486,19740,
487,19479,
488,20469,
489,19375,
490,19375,
491,19323,
492,19375,
493,19375,
494,19792,
495,18646,
496,19479,
497,19427,
498,19532,
499,19636,
500,19479,
501,19480,
502,19583,
503,19427,
504,20000,
505,19479,
506,19635,
507,19532,
508,19531,
509,19531,
510,19844,
511,19011,
512,19479,
513,19636,
514,19583,
515,19584,
516,19531,
517,19531,
518,19375,
519,19479,
520,19584,
521,20521,
522,19792,
523,19583,
524,19583,
525,19583,
526,19687,
527,18906,
528,19532,
529,19635,
530,19531,
531,19636,
532,19427,
533,19531,
534,19635,
535,19584,
536,19323,
537,19479,
538,20417,
539,19583,
540,19427,
541,19635,
542,19583,
543,19010,
544,19583,
545,19583,
546,19427,
547,19479,
548,19635,
549,19427,
550,19479,
551,19479,
552,19740,
553,19531,
554,19219,
555,20365,
556,19427,
557,19532,
558,19427,
559,19531,
560,19375,
561,19219,
562,19479,
563,19375,
564,19427,
565,19583,
566,19270,
567,19271,
568,19427,
569,19844,
570,19532,
571,20000,
572,20625,
573,19427,
574,19739,
575,19583,
576,19583,
577,19375,
578,19531,
579,19636,
580,19635,
581,19270,
582,19531,
583,19583,
584,19635,
585,36615,
586,28959,
587,19844,
588,20677,
589,19271,
590,19063,
591,19167,
592,19011,
593,19063,
594,18802,
595,18959,
596,18907,
597,18907,
598,18854,
599,19010,
600,19062,
601,19167,
602,18802,
603,19010,
604,18855,
605,20365,
606,19010,
607,18854,
608,18958,
609,18906,
610,18906,
611,19063,
612,19062,
613,19479,
614,19479,
615,19427,
616,19375,
617,19427,
618,19375,
619,19479,
620,19479,
621,19167,
622,20208,
623,19167,
624,19427,
625,19583,
626,19532,
627,19011,
628,19583,
629,19531,
630,19375,
631,19584,
632,19323,
633,19583,
634,19479,
635,19531,
636,19427,
637,19584,
